Category	ID	Name	Source	p-value	q-value Bonferroni	q-value FDR B&H	q-value FDR B&Y	Hit Count in Query List	Hit Count in Genome	Hit in Query List
Disease	cv:CN297066	Porokeratosis 1, Mibelli type	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	PMVK
Disease	615830	PIGMENTED NODULAR ADRENOCORTICAL DISEASE, PRIMARY, 4	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	PRKACA
Disease	cv:C0265281	Metatropic dysplasia	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	TRPV4
Disease	616920	HEART AND BRAIN MALFORMATION SYNDROME	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	SMG9
Disease	cv:C0265280	Spondylometaphyseal dysplasia, Kozlowski type	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	TRPV4
Disease	248200	STARGARDT DISEASE 1	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	ABCA4
Disease	184095	SPONDYLOEPIPHYSEAL DYSPLASIA, MAROTEAUX TYPE	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	TRPV4
Disease	619040	MYOFIBRILLAR MYOPATHY 10	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	SVIL
Disease	cv:C1864738	Congenital stromal corneal dystrophy	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	DCN
Disease	cv:C5574965	Frontorhiny	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	ALX3
Disease	260660	COUSIN SYNDROME	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	TBX15
Disease	613869	MYOPATHY, MYOFIBRILLAR, FATAL INFANTILE HYPERTONIC, ALPHA-B CRYSTALLIN-RELATED	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	CRYAB
Disease	613508		OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	TRPV4
Disease	cv:C5569027	Charcot-Marie-Tooth disease recessive intermediate D	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	COX6A1
Disease	614840	HYPOGONADOTROPIC HYPOGONADISM 11 WITH OR WITHOUT ANOSMIA	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	TACR3
Disease	614961	PONTOCEREBELLAR HYPOPLASIA, TYPE 8	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	CHMP1A
Disease	cv:C4747954	Coffin-Siris syndrome 7	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	DPF2
Disease	cv:C3151205	Constitutional megaloblastic anemia with severe neurologic disease	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	DHFR
Disease	612356	HEPARIN COFACTOR II DEFICIENCY	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	SERPIND1
Disease	cv:C0432227	Brachyrachia (short spine dysplasia)	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	TRPV4
Disease	cv:C1850040	Pelviscapular dysplasia	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	TBX15
Disease	156530	METATROPIC DYSPLASIA	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	TRPV4
Disease	cv:C4748997	Mucocutaneous ulceration, chronic	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	RELA
Disease	615502	INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 21	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	CTCF
Disease	168400	PARASTREMMATIC DWARFISM	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	TRPV4
Disease	cv:C3279885	Hereditary sensory neuropathy-deafness-dementia syndrome	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	DNMT1
Disease	cv:C5574705	Congenital anomalies of kidney and urinary tract 2	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	TBX18
Disease	cv:C1854630	Wiedemann-Steiner syndrome	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	KMT2A
Disease	cv:C3151460	Primary ciliary dyskinesia 16	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	DNAL1
Disease	615995	BARDET-BIEDL SYNDROME 18	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	BBIP1
Disease	616720	MYASTHENIC SYNDROME, CONGENITAL, 19	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	COL13A1
Disease	cv:C5543092	Nephrotic syndrome, type 23	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	KIRREL1
Disease	615512	TRIOSEPHOSPHATE ISOMERASE DEFICIENCY	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	TPI1
Disease	cv:C5574918	Preeclampsia/eclampsia 1	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	NOS3
Disease	cv:C0398626	Heparin cofactor II deficiency	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	SERPIND1
Disease	cv:C3280783	Ventricular septal defect 2	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	CITED2
Disease	620071		OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	PSMC1
Disease	cv:C5193054	Coffin-Siris syndrome 8	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	SMARCC2
Disease	cv:C5231396	Hypothyroidism, congenital, nongoitrous, 9	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	IRS4
Disease	610048	CORNEAL DYSTROPHY, CONGENITAL STROMAL	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	DCN
Disease	271640	SPONDYLOEPIMETAPHYSEAL DYSPLASIA WITH JOINT LAXITY, TYPE 1, WITH OR WITHOUT FRACTURES	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	B3GALT6
Disease	cv:C3280647	Bacteremia, susceptibility to, 2	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	CISH
Disease	cv:C4551959	Atrial standstill 1	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	GJA5
Disease	cv:C2678503	Axenfeld-Rieger syndrome type 3	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	FOXC1
Disease	cv:C4014425	Pigmented nodular adrenocortical disease, primary, 4	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	PRKACA
Disease	cv:C1838492	Autosomal dominant congenital benign spinal muscular atrophy	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	TRPV4
Disease	614521	THROMBOCYTHEMIA 3	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	JAK2
Disease	cv:C0403825	Globozoospermia	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	SPATA16
